항목명,코드,코드의미 및 단위
출생자주소지_행정구역시도코드,11,서울특별시
,21,부산광역시
,22,대구광역시
,23,인천광역시
,24,광주광역시
,25,대전광역시
,26,울산광역시
,29,세종특별자치시
,31,경기도
,32,강원도
,33,충청북도
,34,충청남도
,35,전라북도
,36,전라남도
,37,경상북도
,38,경상남도
,39,제주특별자치도
성별코드,1,남자
,2,여자
결혼중외의자녀여부코드,9,미상
,N,혼인외의자
,Y,혼인중의자
출생장소코드,1,자택
,2,병원
,3,기타
,9,미상
부_직업분류코드,01,관리자
,02,전문가 및 관련 종사자
,03,사무 종사자
,05,서비스 종사자 및 판매 종사자
,06,농림어업 숙련 종사자
,07,기능원 및 관련 기능 종사자
,08,"장치, 기계조작 및 조립 종사자"
,09,단순노무 종사자
,13,"학생, 가사, 무직"
,99,"미상,군인(사병제외)"
부_교육정도코드,1,학력없음
,2,초등학교
,3,중학교
,4,고등학교
,5,대학(교)
,6,대학원이상
,9,미상
모_직업분류코드,01,관리자
,02,전문가 및 관련 종사자
,03,사무 종사자
,05,서비스 종사자 및 판매 종사자
,06,농림어업 숙련 종사자
,07,기능원 및 관련 기능 종사자
,08,"장치, 기계조작 및 조립 종사자"
,09,단순노무 종사자
,13,"학생, 가사, 무직"
,99,"미상,군인(사병제외)"
모_교육정도코드,1,학력없음
,2,초등학교
,3,중학교
,4,고등학교
,5,대학(교)
,6,대학원이상
,9,미상
다태아분류코드,1,단태아
,2,쌍태아
,3,삼태아이상
,9,미상
,N,미혼
,Y,혼인
다태아출산순위코드,1,첫째
,2,둘째
,3,셋째
,4,넷째
,9,미상
모총출생아수코드,01,1명
,02,2명
,03,3명
,04,4명
,05,5명
,06,6명
,07,7명
,08,8명 이상
,99,미상
모생존아수코드,01,1명
,02,2명
,03,3명
,04,4명
,05,5명
,06,6명
,07,7명
,08,8명 이상
,99,미상
부_국적구분코드,1,출생한국인
,2,귀화한국인
,3,외국
,9,미상
부_국적코드,1119,타이완
,1122,필리핀
,1135,홍콩
,1151,베트남
,1164,캄보디아
,1177,라오스
,1216,브루나이
,1229,말레이시아
,1232,싱가포르
,1245,인도네시아
,1313,타이
,1326,미얀마
,1339,부탄
,1342,네팔
,1410,파키스탄
,1423,인도
,1436,스리랑카
,1449,아프가니스탄
,1452,방글라데시
,1517,이란
,1520,이라크
,1533,쿠웨이트
,1546,레바논
,1559,사우디아라비아
,1575,요르단
,1614,이스라엘
,1615,팔레스타인
,1627,시리아
,1643,아랍에미리트
,1737,카타르
,1740,오만
,1818,바레인
,1834,키프로스
,1847,몰디브
,1929,몽골
,1931,중화인민공화국
,1944,일본
,2011,프랑스
,2024,이탈리아
,2037,독일
,2040,네덜란드
,2053,벨기에
,2066,룩셈부르크
,2082,그리스
,2095,터키
,2096,튀르키예
,2215,노르웨이
,2228,스웨덴
,2231,덴마크
,2244,영국
,2257,스위스
,2260,오스트리아
,2273,포르투갈
,2299,핀란드
,2312,아일랜드
,2325,스페인
,2338,아이슬란드
,2342,모나코
,2367,안도라
,2370,몰타
,2383,리히텐슈타인
,2396,바티칸
,2419,산마리노
,2422,유고슬라비아
,2435,우크라이나
,2448,카자흐스탄공화국
,2451,우즈베키스탄공화국
,2927,폴란드
,2943,체코
,2956,헝가리
,2969,루마니아
,2972,불가리아
,2985,알바니아
,3010,캐나다
,3036,미국
,3049,미크로네시아
,3117,과테말라
,3120,온두라스
,3133,엘살바도르
,3146,니카라과
,3159,코스타리카
,3162,파나마
,3214,바베이도스
,3227,자메이카
,3230,아이티
,3243,도미니카공화국
,3269,도미니카연방
,3324,바하마
,3395,트리니다드토바고
,3421,세인트루시아
,3434,세인트빈센트그레나딘
,3447,그레나다
,3463,세인트크리스토퍼네비스
,3476,앤티가바부다
,3489,벨리즈
,3515,멕시코
,3913,쿠바
,4022,아르헨티나
,4035,칠레
,4048,우루과이
,4051,파라과이
,4064,페루
,4077,브라질
,4080,에콰도르
,4093,콜롬비아
,4116,베네수엘라
,4514,볼리비아
,4527,가이아나
,4611,수리남
,5018,우간다
,5021,케냐
,5034,탄자니아
,5089,말리
,5102,지부티
,5115,에티오피아
,5128,소말리아
,5131,니제르
,5144,수단
,5160,중앙아프리카
,5212,이집트
,5225,리비아
,5238,튀니지
,5241,알제리
,5254,모로코
,5267,모리타니
,5319,세네갈
,5322,감비아
,5335,기니
,5348,시에라리온
,5351,라이베리아
,5364,코트디부아르
,5377,부르키나파소
,5380,가나
,5393,토고
,5416,나이지리아
,5429,카메룬
,5432,적도기니
,5445,가봉
,5458,베냉
,5513,말라위
,5526,잠비아
,5539,짐바브웨
,5542,보츠와나
,5607,마다가스카르
,5610,남아프리카공화국
,5623,나미비아
,5636,레소토
,5649,스와질란드
,5717,콩고
,5720,자이르
,5733,부룬디
,5746,르완다
,5830,앙골라
,5843,기니비사우
,5940,세이셸
,5966,모리셔스
,5982,코모로
,6017,오스트레일리아
,6020,뉴질랜드
,6033,통가
,6046,토켈라우
,6059,나우루
,6075,파푸아뉴기니
,6088,사모아
,6156,차드
,6842,모잠비크
,6855,상투메프린시페
,7126,키르기즈공화국
,7346,마셜
,7427,솔로몬
,7430,바누아투
,7443,피지
,7457,조지아(그루지야공화국)
,7458,몰도바공화국
,7537,투발루
,7553,키리바시
,8015,러시아
,9000,북한
,9005,아르메니아공화국
,9010,아제르바이잔공화국
,9015,타지키스탄공화국
,9020,투르크메니스탄
,9025,예멘
,9030,아르메니아
,9035,아제르바이잔
,9040,보스니아헤르체고비나
,9045,크로아티아
,9050,에스토니아
,9055,라트비아
,9060,리투아니아
,9065,마케도니아
,9070,슬로바키아
,9075,슬로베니아
,9080,카보베르데
,9085,에리트레아
,9090,세르비아
,9094,몬테네그로
,9113,팔라우
,9126,티모르민주공화국
,9139,콩고민주공화국
,9155,무국적
,9156,체코슬로바키아
,9157,세르비아몬테네그로
,9159,마카오
,9171,벨라루스공화국
,9200,코소보
,9801,괌
,9802,그린랜드
,9803,뉴칼레도니아
,9804,니우에
,9805,레위니옹
,9806,몬트세라트
,9807,버뮤다
,9808,북마리아나군도
,9809,생피에르미클롱
,9810,지브롤터
,9811,쿠크군도
,9812,푸에토리코
,9813,프랑스령폴리네시아
,9999,미상
모_국적구분코드,1,출생한국인
,2,귀화한국인
,3,외국
,9,미상
모_국적코드,1119,타이완
,1122,필리핀
,1135,홍콩
,1151,베트남
,1164,캄보디아
,1177,라오스
,1216,브루나이
,1229,말레이시아
,1232,싱가포르
,1245,인도네시아
,1313,타이
,1326,미얀마
,1339,부탄
,1342,네팔
,1410,파키스탄
,1423,인도
,1436,스리랑카
,1449,아프가니스탄
,1452,방글라데시
,1517,이란
,1520,이라크
,1533,쿠웨이트
,1546,레바논
,1559,사우디아라비아
,1575,요르단
,1614,이스라엘
,1615,팔레스타인
,1627,시리아
,1643,아랍에미리트
,1737,카타르
,1740,오만
,1818,바레인
,1834,키프로스
,1847,몰디브
,1929,몽골
,1931,중화인민공화국
,1944,일본
,2011,프랑스
,2024,이탈리아
,2037,독일
,2040,네덜란드
,2053,벨기에
,2066,룩셈부르크
,2082,그리스
,2095,터키
,2096,튀르키예
,2215,노르웨이
,2228,스웨덴
,2231,덴마크
,2244,영국
,2257,스위스
,2260,오스트리아
,2273,포르투갈
,2299,핀란드
,2312,아일랜드
,2325,스페인
,2338,아이슬란드
,2342,모나코
,2367,안도라
,2370,몰타
,2383,리히텐슈타인
,2396,바티칸
,2419,산마리노
,2422,유고슬라비아
,2435,우크라이나
,2448,카자흐스탄공화국
,2451,우즈베키스탄공화국
,2927,폴란드
,2943,체코
,2956,헝가리
,2969,루마니아
,2972,불가리아
,2985,알바니아
,3010,캐나다
,3036,미국
,3049,미크로네시아
,3117,과테말라
,3120,온두라스
,3133,엘살바도르
,3146,니카라과
,3159,코스타리카
,3162,파나마
,3214,바베이도스
,3227,자메이카
,3230,아이티
,3243,도미니카공화국
,3269,도미니카연방
,3324,바하마
,3395,트리니다드토바고
,3421,세인트루시아
,3434,세인트빈센트그레나딘
,3447,그레나다
,3463,세인트크리스토퍼네비스
,3476,앤티가바부다
,3489,벨리즈
,3515,멕시코
,3913,쿠바
,4022,아르헨티나
,4035,칠레
,4048,우루과이
,4051,파라과이
,4064,페루
,4077,브라질
,4080,에콰도르
,4093,콜롬비아
,4116,베네수엘라
,4514,볼리비아
,4527,가이아나
,4611,수리남
,5018,우간다
,5021,케냐
,5034,탄자니아
,5089,말리
,5102,지부티
,5115,에티오피아
,5128,소말리아
,5131,니제르
,5144,수단
,5160,중앙아프리카
,5212,이집트
,5225,리비아
,5238,튀니지
,5241,알제리
,5254,모로코
,5267,모리타니
,5319,세네갈
,5322,감비아
,5335,기니
,5348,시에라리온
,5351,라이베리아
,5364,코트디부아르
,5377,부르키나파소
,5380,가나
,5393,토고
,5416,나이지리아
,5429,카메룬
,5432,적도기니
,5445,가봉
,5458,베냉
,5513,말라위
,5526,잠비아
,5539,짐바브웨
,5542,보츠와나
,5607,마다가스카르
,5610,남아프리카공화국
,5623,나미비아
,5636,레소토
,5649,스와질란드
,5717,콩고
,5720,자이르
,5733,부룬디
,5746,르완다
,5830,앙골라
,5843,기니비사우
,5940,세이셸
,5966,모리셔스
,5982,코모로
,6017,오스트레일리아
,6020,뉴질랜드
,6033,통가
,6046,토켈라우
,6059,나우루
,6075,파푸아뉴기니
,6088,사모아
,6156,차드
,6842,모잠비크
,6855,상투메프린시페
,7126,키르기즈공화국
,7346,마셜
,7427,솔로몬
,7430,바누아투
,7443,피지
,7457,조지아(그루지야공화국)
,7458,몰도바공화국
,7537,투발루
,7553,키리바시
,8015,러시아
,9000,북한
,9005,아르메니아공화국
,9010,아제르바이잔공화국
,9015,타지키스탄공화국
,9020,투르크메니스탄
,9025,예멘
,9030,아르메니아
,9035,아제르바이잔
,9040,보스니아헤르체고비나
,9045,크로아티아
,9050,에스토니아
,9055,라트비아
,9060,리투아니아
,9065,마케도니아
,9070,슬로바키아
,9075,슬로베니아
,9080,카보베르데
,9085,에리트레아
,9090,세르비아
,9094,몬테네그로
,9113,팔라우
,9126,티모르민주공화국
,9139,콩고민주공화국
,9155,무국적
,9156,체코슬로바키아
,9157,세르비아몬테네그로
,9159,마카오
,9171,벨라루스공화국
,9200,코소보
,9801,괌
,9802,그린랜드
,9803,뉴칼레도니아
,9804,니우에
,9805,레위니옹
,9806,몬트세라트
,9807,버뮤다
,9808,북마리아나군도
,9809,생피에르미클롱
,9810,지브롤터
,9811,쿠크군도
,9812,푸에토리코
,9813,프랑스령폴리네시아
,9999,미상
